cod_dane,elev_media,elev_min,pendiente_media,pendiente_min,pct_plano,flujo_acum_media,flujo_acum_max,agua_ocurrencia,twi_medio
05858,894.152764227721,350,14.637715484973864,0.0,0.01658330927250583,60.827589286004695,4119,2.896710619941851E-5,3.114955356184656
05842,1392.0886384345908,464,27.502288171234728,0.0,0.0012703494720259895,142.01549448985472,6218,1.6583730975951088E-4,2.3561405475820827
05647,2183.720869532383,557,23.572302877425518,0.0,0.003764566430610083,56.24805561792412,2092,1.3043882753598367E-4,2.583695221550319
05475,201.02681153313145,-8,9.041184862430283,0.0,0.20943393602655358,54.63068535995795,4652,2.3801705385139953,4.097026067001045
05628,1387.135491271901,259,31.41208100150247,0.0,0.001379704491166767,3735.8708791456775,164949,0.2023656409097743,2.216427512319567
05819,1315.153843110649,240,28.860138872029072,0.0,0.0015687227286652256,2651.8974804546788,166202,0.10113611000982811,2.350619669358682
05234,1230.3459649471006,132,24.26143818037086,0.0,0.005485236684182806,143.25607168772612,14892,0.005056811762506086,2.4955501050003606
05134,1400.1463458004646,581,22.236019212233796,0.0,0.0017979294787436562,155.88820196049136,6321,0.011301779670665056,2.6175215683490154
05543,2011.8058701730083,253,31.16040754369343,0.0,9.80220446196193E-4,2081.684985194572,164918,0.16389281764063063,2.1332936191155456
05887,2127.2011484734066,565,18.176460124174934,0.0,0.0065359022248901106,36.92900394297526,7394,6.828470881866021E-4,2.7838619895173022
05107,1285.7654862951254,127,27.583751345826613,0.0,0.0010450119956735783,3131.340942524357,173344,0.025221307396846443,2.3889856224315387
05604,524.8430595176246,75,13.510763783662693,0.0,0.02372300065460232,86.17092759233216,10917,0.0018439701626270669,3.2290511215826276
05893,100.11712593270781,37,5.641112139084434,0.0,0.1646113380507111,4532.728173427441,534732,1.32734989734275,4.409691514435279
05031,1092.1775763910775,97,19.01835562376208,0.0,0.009152839338656068,294.9354699673606,19534,0.09747851083829555,2.864920913209938
05854,864.3048831962516,82,22.27302938900719,0.0,0.005094955044564814,3112.514115630009,177411,0.1397135809747541,2.660572375665324
05040,925.0184199167802,61,19.419765418034228,0.0,0.006373636719468166,348.871456445665,24976,0.04095122094018587,2.829932961605839
05736,524.6113222602545,111,14.774205309920093,0.0,0.018236421613353006,59.33148813310826,4706,0.0030838266140702027,3.0665821136419322
05480,529.4148672847933,15,15.549375084426849,0.0,0.12033533978372697,231.21199060919497,18177,0.08975148588076483,3.4608855782195245
05361,1481.7702672682074,132,28.192213260594787,0.0,0.0013920443476853881,646.1669693378439,173414,0.018852657564465976,2.245025269021077
05895,160.79597168056546,22,10.059281429350357,0.0,0.0794246526360731,888.127874182506,56234,0.4603507940656771,3.8134251124924914
05790,494.79853232778754,72,16.138063676310054,0.0,0.04139434142056774,1120.2057344990087,184567,0.09447156400016846,3.1513945955032496
05172,159.37414136989906,-1,7.583130607732823,0.0,0.27954211334822865,53.73455061151913,4616,0.00342859567270961,4.34453630159448
05147,156.42918491555125,-5,6.922990263360325,0.0,0.2844823970878043,110.2224291867773,7575,0.002893034120192758,4.37744719046921
05120,195.4851303736452,29,9.280106262248925,0.0,0.09005912417692466,2272.7649214501007,189199,0.2437173764646076,3.8231667428223375
05250,319.864497789619,1,14.064325458915715,0.0,0.04900340117533478,517.0616311244761,67932,0.4020196020773841,3.316517781672844
05045,285.26017437480346,-5,11.779402302108895,0.0,0.15646694057336685,50.54116574122531,10252,0.002476651478288442,3.676473954399275
05154,66.55654217063474,3,5.457845733736142,0.0,0.145183818386068,2734.173839920124,195093,0.6892979067780688,4.294571585141952
05495,96.8462902400463,1,7.279141536975208,0.0,0.16741751574259417,3011.1082775646737,264908,1.7459249922435351,4.248264835697738
05837,91.76160905291741,-12,6.488755104317872,0.0,0.2904137993392045,555.2375763282316,168838,1.3343597433858074,4.381781110835968
05665,146.33653583114574,51,7.350052677898202,0.0,0.16465459521195724,48.46021468531349,2973,0.02668103863653269,4.059452582515312
